Shipment ID,Origin Airport,Destination Airport,Shipment Weight (kg),Shipment Volume (m³),Freight Cost (USD),Mode of Transport,Carrier Name,Transit Time (hours),Temperature-Sensitive,Perishable Goods,Customs Clearance Time (hours),Weather Conditions,Day of Week,Delay Status
SHIP000001,SFO,LHR,655.03,7.8,1238.23,Air,UPS,16,No,Yes,7,Clear,Thursday,Delayed
SHIP000002,ATL,SIN,988.6,37.41,1868.8,Air,Lufthansa Cargo,21,No,No,5,Clear,Thursday,On-Time
SHIP000003,DFW,HKG,637.71,10.53,1205.49,Air,FedEx,6,No,No,36,Clear,Wednesday,On-Time
SHIP000004,SFO,DXB,367.47,7.7,694.65,Rail,DHL,17,Yes,No,16,Rainy,Sunday,On-Time
SHIP000005,ORD,HKG,671.23,3.59,1268.86,Air,DHL,36,No,No,3,Rainy,Friday,Delayed
SHIP000006,DFW,SIN,575.8,41.58,1088.46,Rail,FedEx,45,No,No,42,Clear,Monday,On-Time
SHIP000007,DFW,SIN,848.29,6.29,1603.56,Rail,DHL,24,Yes,No,18,Clear,Sunday,Delayed
SHIP000008,SFO,SYD,625.66,1.58,1182.72,Air,Emirates Cargo,63,No,No,31,Clear,Saturday,Delayed
SHIP000009,LAX,HKG,637.74,3.31,1205.55,Air,Lufthansa Cargo,5,Yes,No,8,Clear,Thursday,Delayed
SHIP000010,ORD,HKG,229.45,18.4,433.74,Air,Lufthansa Cargo,51,No,Yes,11,Rainy,Tuesday,Delayed
SHIP000011,SFO,HKG,421.47,29.87,796.73,Air,Emirates Cargo,51,No,No,3,Clear,Monday,Delayed
SHIP000012,ORD,LHR,350.97,19.97,663.46,Air,FedEx,9,No,No,36,Rainy,Friday,Delayed
SHIP000013,ORD,NRT,21.31,22.82,40.28,Air,UPS,8,No,No,21,Rainy,Sunday,Delayed
SHIP000014,DFW,SIN,320.15,45.97,605.19,Rail,DHL,70,No,No,1,Rainy,Wednesday,Delayed
SHIP000015,ATL,CDG,491.2,37.97,928.54,Truck,DHL,52,Yes,No,20,Clear,Friday,Delayed
SHIP000016,ORD,LHR,603.85,17.12,1141.49,Truck,UPS,58,No,No,10,Clear,Sunday,On-Time
SHIP000017,MIA,LHR,935.22,7.8,1767.89,Air,UPS,7,Yes,No,6,Foggy,Wednesday,Delayed
SHIP000018,DFW,LHR,246.72,37.48,466.39,Air,FedEx,26,Yes,No,15,Clear,Friday,On-Time
SHIP000019,LAX,SYD,160.9,28.72,304.16,Truck,DHL,6,No,No,35,Rainy,Tuesday,Delayed
SHIP000020,ATL,NRT,870.75,48.12,1646.02,Air,UPS,59,Yes,No,42,Clear,Thursday,Delayed
SHIP000021,MIA,NRT,942.43,45.43,1781.52,Air,DHL,20,Yes,No,37,Clear,Saturday,On-Time
SHIP000022,MIA,CDG,493.07,28.23,932.07,Air,Emirates Cargo,16,No,No,14,Clear,Friday,On-Time
SHIP000023,LAX,HKG,124.06,3.59,234.52,Air,UPS,60,No,No,23,Foggy,Thursday,Delayed
SHIP000024,ATL,SYD,490.53,1.64,927.27,Air,FedEx,54,No,No,37,Clear,Thursday,On-Time
SHIP000025,DFW,SIN,118.35,41.89,223.72,Air,FedEx,70,Yes,No,5,Foggy,Tuesday,Delayed
SHIP000026,JFK,DXB,884.35,34.93,1671.73,Air,DHL,15,No,No,45,Clear,Saturday,Delayed
SHIP000027,ATL,SYD,711.07,28.05,1344.17,Air,DHL,22,No,Yes,10,Clear,Tuesday,Delayed
SHIP000028,LAX,DXB,248.73,34.48,470.19,Air,FedEx,55,No,No,12,Clear,Tuesday,Delayed
SHIP000029,MIA,SIN,887.82,27.04,1678.29,Air,DHL,70,No,No,21,Stormy,Tuesday,Delayed
